Subject,Time point,Reference,Dice,Jaccard,PPV,TPR,LFPR,LTPR,VD,SD,Manual Volume,Segmentation Volume
test13,2,2,0.2552,0.1463,1,0.1463,0,0.2727,0.8537,15.713,1750,256
test13,3,2,0.4231,0.2683,0.9837,0.2695,0,0.25,0.7261,24.2678,898,246
test13,4,2,0.4235,0.2687,0.8916,0.2777,0.5455,0.5556,0.6885,17.7036,1037,323
test14,1,1,0.2901,0.1696,1,0.1696,0,0.1875,0.8304,15.9138,2747,466
test14,2,1,0.4404,0.2824,0.9763,0.2843,0.15,0.4211,0.7088,9.366,2898,844
test14,3,1,0.5063,0.339,0.9398,0.3465,0.1935,0.5814,0.6313,5.2912,3244,1196
test14,4,1,0.5348,0.365,0.961,0.3704,0.2,0.5854,0.6145,4.9653,3458,1333
test14,5,1,0.5646,0.3933,0.9638,0.3992,0.2424,0.5952,0.5858,4.694,3339,1383
test14,1,2,0.2535,0.1452,1,0.1452,0,0.1935,0.8548,19.5315,3210,466
test14,2,2,0.3662,0.2241,0.9834,0.225,0.1,0.25,0.7712,6.9698,3689,844
test14,3,2,0.5613,0.3902,0.9565,0.3972,0.0968,0.4333,0.5847,2.6847,2880,1196
test14,4,2,0.3785,0.2334,0.9827,0.2344,0.0667,0.1884,0.7615,7.8102,5589,1333
test14,5,2,0.495,0.3289,0.9429,0.3356,0.1212,0.2967,0.6441,5.5912,3886,1383
Subject,Volume Correlation,,,,,,,,,,,
All,0.8398,,0.4819,0.3383,0.9450,0.3540,0.1604,0.4493,0.6158,6.7055,15648.2869,6860.0820
,,,,,,,,,,,,
Score:,91.84,,,,,,,,,,,
