Subject,Time point,Reference,Dice,Jaccard,PPV,TPR,LFPR,LTPR,VD,SD,Manual Volume,Segmentation Volume
test08,2,2,0.5023,0.3354,0.764,0.3741,0.3704,0.3714,0.5103,14.0176,2336,1144
test08,3,2,0.5135,0.3455,0.7984,0.3785,0.2222,0.4545,0.5259,3.5461,2605,1235
test08,4,2,0.5065,0.3391,0.6864,0.4013,0.2963,0.5667,0.4154,13.1808,2345,1371
test09,1,1,0.7957,0.6607,0.8349,0.7601,0.51,0.8036,0.0896,0.8207,34094,31040
test09,2,1,0.7989,0.6651,0.8588,0.7468,0.2927,0.7586,0.1305,0.7888,30000,26085
test09,3,1,0.7955,0.6605,0.8962,0.7152,0.4615,0.8226,0.202,0.5813,30553,24380
test09,4,1,0.8158,0.689,0.8951,0.7495,0.4615,0.8333,0.1626,0.5583,29643,24823
test09,1,2,0.6996,0.538,0.9486,0.5542,0.22,0.4615,0.4158,1.0945,53129,31040
test09,2,2,0.6779,0.5127,0.9516,0.5264,0.1098,0.4257,0.4468,1.278,47153,26085
test09,3,2,0.727,0.5711,0.9621,0.5843,0.1709,0.4345,0.3927,1.1225,40143,24380
test09,4,2,0.6839,0.5196,0.9688,0.5285,0.1795,0.2137,0.4545,1.3112,45506,24823
test10,1,1,0.7657,0.6204,0.6834,0.8706,0.4923,0.8636,0.2739,0.8404,15763,20080
test10,2,1,0.7942,0.6587,0.7128,0.8968,0.4701,0.9012,0.2582,0.8187,18223,22928
test10,3,1,0.7432,0.5913,0.6111,0.9479,0.629,1,0.5511,1.1605,16016,24842
test10,4,1,0.7559,0.6076,0.6334,0.9372,0.6474,1,0.4795,1.1273,17352,25673
test10,5,1,0.7668,0.6218,0.6461,0.9431,0.6646,0.963,0.4598,1.05,17978,26244
test10,6,1,0.7853,0.6465,0.6869,0.9166,0.6225,0.9512,0.3344,0.9511,18783,25064
test10,1,2,0.5899,0.4184,0.9429,0.4292,0.1154,0.3926,0.5448,2.5187,44111,20080
test10,2,2,0.8013,0.6685,0.8603,0.7499,0.1453,0.6879,0.1283,0.8822,26302,22928
test10,3,2,0.7499,0.5999,0.9429,0.6225,0.0753,0.424,0.3398,1.2092,37626,24842
test10,4,2,0.7517,0.6021,0.9563,0.6192,0.0925,0.5093,0.3526,1.2851,39654,25673
