Subject,Time point,Reference,Dice,Jaccard,PPV,TPR,LFPR,LTPR,VD,SD,Manual Volume,Segmentation Volume
test11,4,1,0.7108,0.5514,0.974,0.5596,0.0714,0.6389,0.4254,1.4918,9101,5229
test11,5,1,0.7311,0.5762,0.9748,0.5849,0.1395,0.7097,0.4,1.2533,9448,5669
test11,1,2,0.5472,0.3767,0.9823,0.3793,0.1778,0.2727,0.6139,2.1161,16052,6198
test11,2,2,0.5678,0.3965,0.9857,0.3988,0.119,0.2909,0.5954,1.7708,16746,6775
test11,3,2,0.5525,0.3817,0.9823,0.3843,0.0851,0.1207,0.6088,2.0977,15326,5996
test11,4,2,0.5482,0.3776,0.9885,0.3793,0.0714,0.0938,0.6163,2.4552,13628,5229
test11,5,2,0.5388,0.3687,0.9868,0.3706,0.0698,0.0902,0.6245,2.1374,15096,5669
test12,1,1,0.8071,0.6766,0.8002,0.8142,0.3816,0.875,0.0174,0.5798,15400,15668
test12,2,1,0.8073,0.6769,0.8001,0.8146,0.4368,0.873,0.0181,0.5915,15678,15961
test12,3,1,0.8123,0.6839,0.769,0.8608,0.4556,0.9194,0.1194,0.5838,16083,18003
test12,4,1,0.812,0.6834,0.7669,0.8627,0.5,0.9231,0.1249,0.6277,15832,17810
test12,1,2,0.5655,0.3942,0.9681,0.3994,0.1579,0.281,0.5875,2.1288,37980,15668
test12,2,2,0.6704,0.5042,0.9035,0.533,0.1494,0.2667,0.4101,1.8923,27056,15961
test12,3,2,0.7336,0.5793,0.7911,0.6839,0.2222,0.5398,0.1355,1.1509,20824,18003
test12,4,2,0.7271,0.5712,0.9158,0.6029,0.1442,0.3611,0.3417,1.4536,27056,17810
test13,1,1,0.3221,0.192,0.8985,0.1962,0.2,0.5,0.7816,10.3755,3384,739
test13,2,1,0.3149,0.1869,0.8785,0.1919,0.4375,0.45,0.7816,7.3436,3242,708
test13,3,1,0.3191,0.1898,0.9449,0.192,0.1667,0.4211,0.7969,7.0744,3308,672
test13,4,1,0.3672,0.2249,0.9435,0.228,0.375,0.4667,0.7584,7.8499,2930,708
test13,1,2,0.406,0.2547,0.9337,0.2594,0.2,0.4444,0.7222,6.0328,2660,739
test13,2,2,0.5028,0.3359,0.8729,0.3531,0.5625,0.3182,0.5954,7.9129,1750,708
test13,3,2,0.735,0.5811,0.8586,0.6425,0.5833,0.625,0.2517,1.9637,898,672
test13,4,2,0.7106,0.5511,0.8757,0.5979,0.5625,0.7778,0.3173,1.9812,1037,708
test14,1,1,0.5914,0.4199,0.9153,0.4368,0.2917,0.4688,0.5228,2.468,2747,1311
test14,2,1,0.6423,0.4731,0.9079,0.4969,0.2286,0.6316,0.4527,2.253,2898,1586
test14,3,1,0.7166,0.5584,0.8677,0.6104,0.2727,0.6977,0.2965,1.4787,3244,2282
test14,4,1,0.7094,0.5497,0.8616,0.6029,0.1944,0.7073,0.3002,1.7445,3458,2420
test14,5,1,0.7352,0.5813,0.8075,0.6748,0.3023,0.7381,0.1644,1.5454,3339,2790
test14,1,2,0.4729,0.3097,0.8154,0.333,0.375,0.4516,0.5916,4.8014,3210,1311
test14,2,2,0.513,0.345,0.8531,0.3668,0.2857,0.2941,0.5701,3.9934,3689,1586
test14,3,2,0.6997,0.5381,0.7914,0.6271,0.25,0.4833,0.2076,1.874,2880,2282
test14,4,2,0.5254,0.3563,0.8694,0.3765,0.1389,0.1957,0.567,3.3944,5589,2420
test14,5,2,0.6093,0.4382,0.729,0.5234,0.1395,0.3407,0.282,2.0999,3886,2790
Subject,Volume Correlation,,,,,,,,,,,
All,0.85883,,0.6613,0.5093,0.8434,0.5872,0.3047,0.608,0.385,2.5427,15648.2869,11989.5574
,,,,,,,,,,,,
,,,,,,,,,,,,
Score,92.31,,,,,,,,,,,
